,english_premise,english_hypothesis,english_label
8875,Economic growth is an integral part of the creativity of the universe as a whole.,Economic growth models many natural systems found in the universe.,1
8876,Specialized professional staff led by Philip Zelikov contributed countless hours to the completion of this report by canceling other important endeavors to take on this all-consuming task.,There were twenty men in Philip Zelikov's staff.,1
8877,Will anyone remember the World Trade Organization in half a century?,The prosperity of the World Trade Organization is guaranteed for the next century.,2
8878,"Two of Canada's most famous historical writers, Peter K. Newman and Pierre Berton, use the term exclusively in works written for the Canadian North.","Although they have written many popular contemporary songs, Peter N. Newman and Pierre Burton have never written books about history.",2
8879,He swung at Lord Julian.,He turned to Lord Julian.,0
8880,"On weekends you can join the locals in Parque de Palapas, where the genres of rock, salsa and folk music can be combined in a confusing cacophony.",Parque de Palapas is where people constantly come to barbecue.,1
8881,The case files may need to be translated for clients who speak another language rather than English.,Only English files are allowed.,2
8882,The riddles are also fun and educational.,"Well, riddles are two things.",0
8883,"But this glamour of dedication was missed in the review, leaving the reader no wiser than before.",The review does not cover key information from the dedication.,0
8884,"Brian in Plano, Texas, how are you today?",How's your day going?,0
8885,"She had seen him with bright eyes, but at the sight of his irritated face and his deeply frowning forehead, her own expression changed.",Her expression changed after seeing his face.,0
8886,Tumairy refuses to take any disciplinary action.,"According to Thumeiri, he was not disciplined.",0
8887,It was revealed that he had allies on both sides of the border.,He only had confederation supporters on one side of the border.,2
8888,"Last year, only 20% of our graduates made contributions to the school, compared to 14% in 1990.",17% of our alumni contributed to the school three years ago.,1
8889,Not Naomi Wolfe's wrong answer.,Naomi Wolfe had an answer.,0
8890,"Of course, there was a good reason to think that the government was protecting him for King - the government was really protecting him for King.",The government didn't like the king.,0
8891,It is not possible to understand the degree or direction of bias in the overall change in frequency based on the overall application of a CR function anywhere.,You cannot know how many deviations exist because it is difficult to distinguish themselves from other external influences.,1
8892,"Pinchon: as it suits a man who keeps, back to bragging, Pinchon kept his personal space and personal life private.",The public knows very little about Pinchon's personal life.,0
8893,It sweeps away and the words upon its passage.,It also sweeps away words when it passes.,0
8894,"Oh, and then, if you try to get him out of your corporation, you'll pay dearly and dearly.","If you extend beyond your corporation, it will cost you a lot of money.",0
8895,Don't mind the question of whether the Dow Jones index is the right measure for the welfare of the rich.,Dow Jones shows what is happening in the economy.,0
8896,"Intuitive, slightly convergence flow in the state space allows classification because when two countries come together in one host country, these two countries are classified as equivalent to the network.",The convergence flow allows classification.,0
8897,The museums are magnificently shaped and most provide leaflets (usually in German but often in English and French) with detailed information about the exhibits; you will find boxes for voluntary donations.,The museums were designed badly.,2
8898,"Also in this group is the twenty-third amendment, which continues the rights of citizens otherwise qualified in the District of Colombia to vote for president and vice president.",The 23rd Amendment says you can vote for the president if you live in the capital.,0
8899,Time predicts trouble for SATs.,There'll be trouble for the SATs in time.,0
8900,"day care two days a week, they call it Care Day for senior citizens, but she goes to the senior citizen center",They release them more than twice a week if the elderly allow it.,1
8901,"Maybe you've heard of me, looked hard at Captain Calverly.",Captain Calverly's staring.,0
